route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307649,"South to I-485/S. Blvd",1,928109,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307650,"South to I-485/S. Blvd",1,928106,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307651,"South to I-485/S. Blvd",1,928102,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307652,"South to I-485/S. Blvd",1,928107,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307653,"South to I-485/S. Blvd",1,928108,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307654,"South to I-485/S. Blvd",1,928104,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307655,"South to I-485/S. Blvd",1,928105,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307656,"South to I-485/S. Blvd",1,928103,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307657,"South to I-485/S. Blvd",1,928109,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307658,"South to I-485/S. Blvd",1,928106,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307659,"South to I-485/S. Blvd",1,928102,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307660,"South to I-485/S. Blvd",1,928107,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307661,"South to I-485/S. Blvd",1,928108,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307662,"South to I-485/S. Blvd",1,928104,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307663,"South to I-485/S. Blvd",1,928105,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307664,"North to UNCC",0,928108,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307665,"South to I-485/S. Blvd",1,928103,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307666,"South to I-485/S. Blvd",1,928109,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307667,"North to UNCC",0,928103,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307668,"South to I-485/S. Blvd",1,928106,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307669,"North to UNCC",0,928107,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307670,"South to I-485/S. Blvd",1,928107,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307671,"South to I-485/S. Blvd",1,928108,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307672,"South to I-485/S. Blvd",1,928104,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307673,"South to I-485/S. Blvd",1,928103,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307674,"South to I-485/S. Blvd",1,928106,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307675,"South to I-485/S. Blvd",1,928107,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307676,"South to I-485/S. Blvd",1,928108,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307677,"South to I-485/S. Blvd",1,928104,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307678,"North to UNCC",0,928104,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307679,"South to I-485/S. Blvd",1,928103,5010107
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307680,"South to I-485/S. Blvd",1,928106,5010123
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307681,"South to I-485/S. Blvd",1,928107,5010123
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307682,"North to UNCC",0,928106,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307683,"South to I-485/S. Blvd",1,928108,5010123
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307684,"North to UNCC",0,928105,5010109
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307686,"North to UNCC",0,928108,5010110
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307688,"North to UNCC",0,928104,5010117
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307689,"North to UNCC",0,928103,5010109
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307690,"North to UNCC",0,928109,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307691,"North to UNCC",0,928106,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307692,"North to UNCC",0,928102,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307693,"North to UNCC",0,928107,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307694,"North to UNCC",0,928108,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307695,"North to UNCC",0,928104,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307696,"North to UNCC",0,928105,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307697,"North to UNCC",0,928103,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307698,"North to UNCC",0,928109,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307699,"North to UNCC",0,928106,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307700,"North to UNCC",0,928102,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307701,"North to UNCC",0,928107,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307702,"North to UNCC",0,928108,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307703,"North to UNCC",0,928104,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307704,"North to UNCC",0,928105,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307705,"North to UNCC",0,928103,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307706,"North to UNCC",0,928109,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307707,"North to UNCC",0,928106,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307708,"North to UNCC",0,928102,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307709,"North to UNCC",0,928107,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307710,"North to UNCC",0,928108,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307711,"North to UNCC",0,928104,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307712,"North to UNCC",0,928105,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307713,"North to UNCC",0,928103,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307714,"North to UNCC",0,928109,5010108
501,BLE-Sunday-0-RAIL-26-01-0000001-,5307715,"North to UNCC",0,928106,5010108
